code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
6111184007618,0.76555023923445,High,High Sugar,Yes
50457236,0.971428571428571,Low,Low Sugar,No
5410041001204,0.105970149253731,High,Moderate Sugar,Yes
6111251420135,0.271523178807947,Low,Low Sugar,No
6111180000392,0.915983606557377,High,High Sugar,No
3017620429484,0.979130434782609,High,High Sugar,Yes
6111031005552,0.709090909090909,High,High Sugar,Yes
8000500310427,0.559375,High,High Sugar,Yes
6111032001010,0.642857142857143,Low,Moderate Sugar,Yes
6111099005396,0.0,High,Low Sugar,Yes
16256866,0.968253968253968,High,High Sugar,Yes
6111206000733,0.0,High,Low Sugar,Yes
6111184000213,0.826446280991736,High,High Sugar,Yes
8002270014901,-1.0,Low,Low Sugar,No
59032823,0.979130434782609,High,High Sugar,Yes
6111018501480,1.0,Low,Low Sugar,Yes
3155250358788,-1.0,High,Low Sugar,Yes
50160884,0.12987012987013,High,Low Sugar,No
6111259340992,0.0,High,Low Sugar,Yes
6111242100930,0.994108983799705,Low,Moderate Sugar,Yes
3068320123264,-1.0,Low,Low Sugar,Yes
6111242102781,0.629370629370629,Moderate,Moderate Sugar,No
4056489148739,0.948275862068966,Moderate,Moderate Sugar,No
6111242103702,0.559006211180124,Moderate,Moderate Sugar,No
6175700,0.0346666666666667,High,Low Sugar,No
5010265002911,0.0422535211267606,Low,Low Sugar,No
6111032008453,0.699186991869919,Moderate,Moderate Sugar,Yes
5449000131805,-1.0,Low,Low Sugar,Yes
3608580124047,0.75,High,Moderate Sugar,Yes
6111214004747,0.0424164524421594,High,Low Sugar,No
3175681851849,0.17741935483871,High,Moderate Sugar,Yes
54491472,1.0,Low,Moderate Sugar,Yes
3451790988677,1.0,High,Low Sugar,No
5010029000801,0.0608695652173913,High,Low Sugar,No
6111242101050,0.0,Low,Low Sugar,Yes
20003166,0.0127659574468085,Moderate,Low Sugar,No
5013665112273,0.428571428571429,Low,Low Sugar,No
6111250012416,0.0,Low,Low Sugar,No
5411188115366,0.507936507936508,Low,Low Sugar,Yes
10596975,0.262295081967213,High,Low Sugar,Yes
6111252860077,1.0,High,High Sugar,Yes
6111245591063,0.271523178807947,High,Low Sugar,Yes
6111242100817,0.0,Low,Low Sugar,Yes
20095291,0.85,Low,Low Sugar,Yes
3229820019307,0.0293103448275862,High,Low Sugar,No
5034467000216,0.0909090909090909,Moderate,Low Sugar,No
80176800,0.976744186046512,High,High Sugar,Yes
6111126003821,0.0,Low,Low Sugar,No
6111035003509,-1.0,Low,Low Sugar,No
3480341000674,0.644444444444444,Low,Low Sugar,No
6111203001474,0.0,High,Low Sugar,Yes
8410076801180,0.418333333333333,Moderate,Moderate Sugar,Yes
4008400401621,0.976744186046512,Low,Moderate Sugar,Yes
6111032000631,0.317880794701987,Low,Low Sugar,Yes
80052760,0.832323232323232,High,High Sugar,Yes
6111242102002,0.46875,Moderate,Moderate Sugar,Yes
3251490332080,0.296296296296296,High,High Sugar,Yes
3175680015228,0.1,High,Low Sugar,No
3229820160672,0.225806451612903,High,Moderate Sugar,Yes
5449000133328,-1.0,Low,Low Sugar,Yes
5449000131836,-1.0,Low,Low Sugar,Yes
3760049790214,0.134042553191489,High,Moderate Sugar,Yes
20006105,0.102631578947368,High,Low Sugar,Yes
3046920028721,0.0444444444444444,High,Low Sugar,No
5010003064744,0.0918918918918919,Moderate,Low Sugar,Yes
3019081238643,-1.0,High,Low Sugar,No
5449000000439,1.0,Low,Moderate Sugar,Yes
6111024001516,-1.0,High,Low Sugar,Yes
7613035040823,0.915187376725838,High,High Sugar,Yes
6111259342828,0.255,High,High Sugar,Yes
3257971309114,-1.0,Low,Low Sugar,No
7640154260283,0.271523178807947,High,Low Sugar,Yes
3256540000698,0.2,High,Moderate Sugar,Yes
8000500179864,0.984265734265734,High,High Sugar,Yes
3045140105502,0.964912280701754,High,High Sugar,Yes
50457250,0.982758620689655,Moderate,High Sugar,No
6111184001203,0.274398868458274,Moderate,Low Sugar,Yes
5020364010113,0.104761904761905,High,Low Sugar,No
42105220,1.0,Low,Moderate Sugar,Yes
5036589252450,1.0,Low,Moderate Sugar,No
3033710073467,1.0,Moderate,Moderate Sugar,Yes
3284230006408,0.25,High,Moderate Sugar,Yes
6111242103528,0.103896103896104,Low,Low Sugar,Yes
7622201693916,1.0,High,Low Sugar,Yes
6111242105331,1.0,High,Low Sugar,Yes
6111035502941,-1.0,Low,Low Sugar,No
3225350000501,0.5,Low,Low Sugar,No
87157215,0.982758620689655,Moderate,High Sugar,No
40896243,0.8,Low,Low Sugar,Yes
50457243,0.982758620689655,Moderate,High Sugar,No
8722700479475,0.928571428571429,High,Low Sugar,Yes
6111259343344,0.516556291390728,High,High Sugar,Yes
10614594,0.375451263537906,High,Moderate Sugar,Yes
8719200237902,1.0,High,Low Sugar,Yes
8076809523547,0.65,High,Moderate Sugar,Yes
3088543506255,0.981366459627329,High,High Sugar,No
3480341000636,1.0,Moderate,Low Sugar,No
8718114724485,0.928571428571428,Moderate,Low Sugar,Yes
6111250474405,0.981132075471698,High,High Sugar,Yes
6111242102767,1.0,Moderate,Moderate Sugar,Yes
5411188103387,0.969387755102041,Low,Moderate Sugar,Yes
3760091727732,0.446153846153846,High,Moderate Sugar,No
5010029000023,0.0608695652173913,High,Low Sugar,No
4056489346357,-1.0,Low,Low Sugar,Yes
5201054017432,1.0,Low,Low Sugar,No
4088600247519,0.0653846153846154,Moderate,Low Sugar,No
5057967395088,0.0545454545454545,Moderate,Low Sugar,No
90382383,0.777777777777778,Low,Moderate Sugar,Yes
6111246953679,0.662251655629139,Moderate,Moderate Sugar,No
3587220002252,0.26530612244898,High,Moderate Sugar,Yes
3046920029780,0.878787878787879,High,High Sugar,Yes
6111250472241,0.984615384615385,Moderate,High Sugar,Yes
6111260230619,0.0,High,Low Sugar,Yes
3366321052386,-1.0,High,Low Sugar,Yes
5053990101597,0.143884892086331,Moderate,Low Sugar,Yes
6111184003276,0.0,Low,Low Sugar,Yes
3229820129488,0.23728813559322,High,Moderate Sugar,No
7613039490266,0.951837769328263,High,High Sugar,Yes
3033710084913,0.538461538461538,Low,Low Sugar,Yes
3327272107969,0.476923076923077,High,Moderate Sugar,No
6111246250013,-1.0,Low,Low Sugar,Yes
3088542500285,0.874200426439232,Low,Low Sugar,No
3760049791006,0.0604651162790698,High,Low Sugar,Yes
4008400404127,0.979130434782609,High,High Sugar,Yes
6111242101272,1.0,Moderate,High Sugar,Yes
8410510012196,0.714285714285714,Low,Low Sugar,Yes
4056489007180,0.116279069767442,High,Low Sugar,Yes
4088600246291,0.0116279069767442,High,Low Sugar,No
7622210601988,0.451612903225806,High,High Sugar,Yes
5410126006957,0.645614035087719,High,High Sugar,Yes
6111242104198,0.423076923076923,Low,Moderate Sugar,Yes
6111021090049,0.379746835443038,Moderate,Moderate Sugar,No
6111251753899,0.264367816091954,Low,Low Sugar,Yes
3041090063206,0.105333333333333,High,Moderate Sugar,Yes
20815394,0.881481481481482,High,High Sugar,No
5010477348678,0.283333333333333,High,High Sugar,No
6111250470209,0.0,Low,Low Sugar,Yes
5011273040698,0.991411042944785,High,High Sugar,No
6111035001024,0.271523178807947,High,Low Sugar,No
5059697731860,0.8,Low,Low Sugar,Yes
4016241030573,1.0,Low,Low Sugar,No
5017764128104,0.0017636684303351,High,Low Sugar,No
8198701234564,0.451612903225806,High,Moderate Sugar,Yes
5053990101573,0.0163636363636364,High,Low Sugar,Yes
8719200269743,1.0,High,Low Sugar,Yes
7300400481571,0.032258064516129,High,Low Sugar,No
7613035676497,1.0,Moderate,Moderate Sugar,Yes
20047559,1.0,Moderate,Low Sugar,No
3362600001106,0.317460317460317,High,High Sugar,Yes
3041090063114,0.101282051282051,High,Moderate Sugar,Yes
3175681851856,0.25,High,High Sugar,Yes
5000157076410,0.967741935483871,High,Low Sugar,No
