brands,product_name,energy_kcal,sugars,calorie_category,sugar_category
Green & Black's,Black's Organic White Chocolate Bar,581.0,51.0,High,High Sugar
Sainsbury's,Dominican dark chocolate,580.0669215147,26.4,High,High Sugar
Green & Black's,Organic 70% Dark Chocolate Bar,580.0,29.0,High,High Sugar
"Côte d'Or,Mondelez International",Chocolat noir Bio 70%,580.0,29.0,High,High Sugar
Éthiquable,Haïti Grand cru Cap haïtien 72% cacaoté et fruité,580.0,27.0,High,High Sugar
"Carrefour BIO, Carrefour",Chocolat Pâtissier Noir CORSE 70% CACAO,580.0,29.0,High,High Sugar
Hacendado,Unknown,580.0,29.0,High,High Sugar
Milka,Milka Tendre au lait,579.0,51.0,High,High Sugar
"Merci, Storck",Merci : Milk Chocolate синий смотка,579.0,48.3,High,High Sugar
Unknown,Tchicolata,579.0,50.0,High,High Sugar
Poulain,180G POULAIN PRALINOISE,579.0,51.0,High,High Sugar
Moser Roth,Dark chocolate,578.0,25.7,High,High Sugar
Hacendado,Black chocolate 72% with almonds,578.0,21.0,High,High Sugar
"Côte d'Or, Mondelez, Mondelez International",Carrés Noir Noisette,578.0,40.0,High,High Sugar
RITTER SPORT,Dunkle Voll-Nuss,577.0,37.0,High,High Sugar
Aiguebelle,tentation croque lait aux noisettes suprêmes,577.0,39.0,High,High Sugar
Ferrero,Kinder Schokobons White,577.0,47.2,High,High Sugar
Co Op,Chocolat Noir IRRESISTIBLE 70%,577.0,29.0,High,High Sugar
"Ferrero, Kinder",Chocolat Kinder Chocofresh fourré lait noisette x5,577.0,39.6,High,High Sugar
Kaoka,Chocolat noir 80% - Équateur,577.0,21.0,High,High Sugar
"Carrefour BIO, Carrefour",NOIR 80% Cacao Equateur,577.0,21.0,High,High Sugar
Kinder,Schokobons,576.0,52.2,High,High Sugar
"Ferrero, Kinder, Mixte",Kinder Schoko-Bons,576.0,52.2,High,High Sugar
