energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,nova_group,nutrition_score,fruits_veg_nuts_percent,brands,code,product_name
270.0,,6.0,6.0,21.0,12.0,9.0,,1.5,0.6,4.0,18.0,0.0,la Hollandaise,6111203006653,Cheddar
621.0,,4.67,4.67,53.3,4.33,24.7,12.0,0.01,0.004,1.0,-10.0,100.0,"Alesto,Lidl",20724696,Mandeln
,,0.0,0.0,0.0,0.0,0.0,0.0,99.0,39.6,2.0,,0.0,Star,6111184001562,Star Branded Iodized Salt
108.0,418.0,25.7,22.36,0.08,0.0,1.12,0.0,0.00555,0.00222,,7.0,0.0,Star,6111184004730,Ketchup star 310 g
400.0,1700.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,COSUMAR,6111029000118,Cosumar Sucre En Lingot Pour Le Thé 1 kg
180.0,,5.9,1.68,14.3,2.7,6.2,1.6,0.009,0.0036,,-5.0,0.0,"Alesto, 16 x Lidl 10.25, Lidl, Lidl Alesto, 14 x Lidl 10.25",20267605,Cashewkerne
440.0,,76.4706,24.2353,10.8235,5.2941,7.6471,2.3529,0.882353,0.3529412,4.0,21.0,0.0,Henry's,3362600011044,Henry’s
95.5,399.0,14.0,9.0,2.7,1.8,3.4,2.0,0.0,0.0,,3.0,0.0,Danone,6111032001003,Assil
58.0,,4.8,,3.0,2.0,3.0,,,,1.0,,,Salim,6111032000600,Salim
42.0,180.0,10.6,10.6,0.0,0.0,0.0,,0.0,0.0,4.0,12.0,0.0,Coca-Cola,5449000214911,Coca-Cola
109.0,,16.9,2.0,3.0,0.4,3.6,,0.0,0.0,4.0,0.0,0.0,jaouda,6111242100305,Cremy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,1.0,0.0,0.0,THE COCA-COLA COMPANY,5449000061515,Ciel
0.0,,0.0,0.0,0.0,0.0,0.0,,0.13,0.052,,0.0,0.0,Ciel,42104964,Ciel 33cl
539.0,,53.0,50.0,33.0,25.0,7.2,,0.275,0.11,4.0,31.0,2.67857142857143,Maruja,8425197712024,
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,Danone,6111128000088,ain saiss 50cl
257.0,1061.0,3.1,0.0,18.0,0.0,10.0,0.0,0.0,0.0,3.0,-1.0,0.0,Original,6111246721278,Cream cheese
679.0,,0.6,0.6,75.0,35.0,0.5,0.0,0.885,0.354,2.0,21.0,22.5,Lurpak,5740900404465,Spreadable Slightly Salted
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,BAHIA,6111035003523,
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,783.75,313.5,,0.0,0.0,Oulmès,6111035003004,Oulmes Eau Gazeuse
580.0,2428.0,36.0,29.0,42.0,25.0,9.1,10.0,0.01,0.004,3.0,20.0,0.0,Green & Black's,7622210578464,Organic 70% Dark Chocolate Bar
138.0,572.0,6.14,3.5,11.5,7.7,2.5,,0.8,0.32,4.0,12.0,0.0,jibal,6111246954461,jibal jben
483.0,,61.5,32.0,24.0,12.0,5.2,,0.27,0.108,,26.0,0.0,Excelo,6111259343108,KING COOKIES
,,,,,,,,,,,,0.0,Nestlé,6111018903161,Nescafé Classic
72.0,,12.4,9.0,1.7,1.1,1.9,0.0,0.0,0.0,4.0,12.0,0.0,Danone,6111032006619,Jamila
0.0,,0.0,0.0,0.0,0.0,0.0,,3e-06,1.2e-06,1.0,0.0,0.0,Aïn lfrane,6111251420166,Eau
1.0,,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.04,1.0,0.0,0.0,Aquafina,6111252421575,Aquafina 50cl
34.0,,3.8,2.2,0.2,0.0,0.8,1.0,0.5,0.2,4.0,3.0,77.8284090909091,solis,8445290615350,sauce tomate cuisinée
0.3,1.3,0.0,0.0,0.0,0.0,0.0,,0.01,0.004,4.0,4.0,0.0,Coca-Cola,5449000214799,Coke Zero
186.0,,31.0,10.0,5.2,3.0,3.2,1.0,0.3775,0.151,4.0,22.0,10.6,Henry's,3362600011228,Sable coco Henry s 42g
81.0,,15.5,4.3,0.4,,4.8,3.9,0.59,0.236,4.0,,95.3309206558096,Heinz,5000157024671,Fasole albă în sos de roșii
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.048,1.0,0.0,0.0,Aïn Atlas,6111035001673,Aïn Atlas 50cl
646.0,2705.0,6.4,4.2,58.0,6.4,20.4,8.5,0.01,0.004,1.0,10.0,100.0,"Alesto,Alesto Lidl,Alesto Selection,Lidl",20047238,
44.0,,5.5,0.0,1.8,0.2,0.7,1.3,0.0875,0.035,4.0,0.0,0.0,ALPRO,5411188124689,Hafer Milch
61.0,,7.1,3.4,3.0,0.3,1.1,0.8,0.0975,0.039,3.0,7.0,5.0,Oatly,7394376616228,Oat Drink Barista Edition
58.0,,4.8,,3.0,,3.0,,,,1.0,,0.0,Dost,6111250470742,Lait U.H.T entier
635.0,2659.0,0.7,0.0,70.0,0.0,1.0,0.0,0.7,0.28,4.0,3.0,0.0,la Prairie,6111203001467,margarine la prairie 225g
336.0,1415.0,62.0,1.0,1.5,0.4,9.0,19.0,1.0,0.4,3.0,0.0,0.0,wasa,7300400481595,Tartine croustillante Authentique
566.0,2350.0,35.0,30.0,41.0,24.0,9.5,,0.02,0.008,3.0,25.0,0.0,Lindt,3046920022651,Excellence Noir Intense 70% Cacao
532.0,2224.0,0.2,0.0,60.0,21.0,0.2,5.0,0.0,0.0,4.0,9.0,0.0,,6111037000599,Familia 200g
1.0,,0.15,0.15,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,Star,6111184001661,Star vinaigre de table BLANC
137.0,,11.7,7.2,7.0,4.8,7.0,,0.5,0.2,,7.0,0.0,Gervais,6111032008583,
544.0,2270.0,54.0,51.0,32.0,5.7,8.1,3.6,0.12,0.048,4.0,24.0,18.5,Rigoni Di Asiago,8052575090230,Nocciolata
551.0,2299.0,53.0,51.0,34.0,5.2,6.7,3.3,0.1,0.04,4.0,24.0,25.0,Bonne Maman,3608580065340,Pâte à tartiner noisettes et cacao
476.0,,49.0,0.64,27.0,2.4,6.2,5.5,0.825,0.33,3.0,8.0,0.0,Tyrrell's,5060042641000,Lightly sea salted crisps
136.0,,26.0,1.6,0.8,0.2,4.5,3.8,0.0975,0.039,3.0,-3.0,0.0,Weetabix,5010029000016,Weetabix
607.0,2512.0,24.0,0.0,50.0,0.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,Green and black,7622210584724,Dark chocolate
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,1.0,0.0,0.0,Volvic,3057640257773,Eau Minérale Naturelle
180.0,,0.6,0.6,8.5,1.5,30.1,,0.5,0.2,3.0,-2.0,0.0,joly,6111162001218,Filets de maquereau
584.0,2418.0,22.0,15.0,46.0,27.0,12.5,0.0,0.02,0.008,3.0,21.0,0.0,Lindt,3046920022606,Excellence Noir Puissant 85% Cacao
495.0,2033.0,0.0,0.0,55.0,15.0,0.0,,0.4,0.16,4.0,8.0,0.2,Primevère,3155251205296,Tartine Doux
73.0,303.0,8.7,2.3,3.3,0.4,1.3,1.4,0.83,0.332,,4.0,0.0,sos,6111251753912,611251753912
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,سلطان,6111248360130,Aïn Soltane
180.0,,0.6,0.16,6.4,1.5,30.1,,0.5,0.2,3.0,-2.0,0.0,8dh,6111003031107,
481.0,2017.0,65.0,27.0,20.0,6.9,7.6,5.3,0.49,0.196,4.0,18.0,0.0,Bjorg,3229820100234,Fourrés Chocolat Noir
256.0,1087.0,63.0,62.0,0.5,0.1,0.5,0.5,0.02,0.008,4.0,17.0,56.0,El Baraka,6111184001074,Confiture De Fraises 430 G
114.0,,6.4,5.2,8.4,5.2,2.0,2.5,0.01,0.004,4.0,19.0,0.0,fin CARRÉ,20022464,NOIR INTENSE 74% CACAO
,,0.0,0.0,0.0,0.0,0.0,0.0,62.5,25.0,,0.0,0.0,Ciel,5449000206770,Eau de table
563.0,,0.0,0.0,62.0,7.0,1.2,,5.0,2.0,,33.0,0.0,Star,6111184001197,
625.0,2591.0,12.0,5.1,50.0,9.7,29.0,5.5,0.0,0.0,1.0,-5.0,100.0,"Jardin Bio, Léa Nature",3760020507350,Pur beurre de cacahuète
41.0,,10.0,9.5,0.0,0.0,0.0,4.0,0.026,0.0104,,10.0,0.0,"Hawai,Coca cola",5449000036872,Hawai Tropical
58.0,243.0,4.8,4.2,3.63,2.4,3.0,,0.0,0.0,1.0,4.0,0.0,Jaouda,6111242100220,Lait Entier UHT
77.0,325.0,3.0,0.6,0.0,0.0,10.0,,16.9,6.76,3.0,20.0,0.0,Kikkoman,8715035110106,Sojasauce
57.0,,3.6,3.6,0.105,0.065,9.5,0.0,0.1375,0.055,3.0,-2.0,0.0,Yoplait,3329770077003,Skyr nature 0%
28.0,,5.6,0.0,0.2,0.1,0.6,,0.0,0.0,3.0,2.0,0.0,Kallo,5013665100065,Organic Lightly Salted Wholegrain Low Fat Rice Cakes
592.0,,0.22,0.05,65.21,9.8,1.12,,1.75,0.7,,12.0,0.0,Star,6111184000619,Mayonnaise
0.5,200.0,0.5,0.2,0.5,0.5,0.5,0.2,0.1,0.04,,3.0,,green tea,6923818812082,Green Tea
297.0,1246.0,37.0,4.2,9.6,1.0,12.0,7.2,0.96,0.384,4.0,0.0,0.48,La Boulangère,3760049798609,Pain de mie grandes tranches Seigle & Graines 500g
900.0,3768.0,0.0,0.0,100.0,14.0,0.0,0.0,,,2.0,,,lio,6111099000599,
544.0,,54.0,51.0,32.0,5.7,8.1,3.6,0.12,0.048,4.0,24.0,18.5,Rigoni di Asiago,8052575090254,Nocciolata bio
233.0,,44.8,2.6,1.1,0.2,9.3,3.6,0.855,0.342,3.0,2.0,0.0,JASON'S,5025125000129,JASON'S SOURDOUGH 07 SUPERB SPROUTED GRAINS
333.0,1397.0,47.0,2.0,5.0,1.0,12.0,26.0,1.2,0.48,3.0,0.0,0.0,Wasa,7300400481588,FIBRES
400.0,1687.0,68.0,1.1,6.6,0.9,13.0,8.3,1.1,0.44,4.0,0.0,7.6,Krisprolls,7311070032611,Krisprolls complets sans sucres ajoutés
243.0,1026.0,42.0,3.8,3.0,0.3,8.7,6.6,1.2,0.48,4.0,2.0,0.0,Jacquet,3029330022428,14 Maxi Tranches complet sans sucres ajoutés
374.0,,65.0,20.6,9.2,4.5,6.5,2.0,0.75,0.3,4.0,21.0,0.0,Henry’s,3362600011006,Henry’s
272.0,,67.36,50.0,0.0,0.0,0.41,,0.0,0.0,3.0,15.0,66.6666666666667,Delicia,6111162000716,Confiture d'abricot
492.0,2030.0,11.0,5.0,47.0,5.3,4.7,3.0,3.2,1.28,4.0,27.0,45.205078125,Barilla,8076809513753,PESTO alla GENOVESE
22.0,93.0,2.4,2.4,1.1,0.1,0.4,0.4,0.14,0.056,4.0,4.0,2.37,alpro,5411188110835,Mandelmilch mit Zucker
462.0,1913.0,57.0,12.0,19.0,2.0,8.5,10.0,0.0,0.0,4.0,1.0,10.7,Quaker,3168930010265,cruesly mélange de noix
497.0,2073.0,70.0,27.0,21.0,9.9,7.0,,0.32,0.128,4.0,23.0,0.0,Excelo,6111259341197,Momo black
522.0,2181.0,60.0,59.0,28.0,5.1,5.4,3.5,0.1,0.04,4.0,25.0,18.75,Poulain,16256163,poulain
385.56,,20.9,16.0,33.0,2.57,1.31,,2.2,0.88,,20.0,0.0,Star,6111184007618,
