energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,nova_group,nutrition_score,fruits_veg_nuts_percent,brands,code,product_name
,1400.0,48.0,18.0,3.5,0.7,14.0,27.0,0.95,0.38,3.0,8.0,0.0,"Kellogg,Kellogg's",5000127142190,All-Bran Original
2.0,,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,,40.2777777777778,Allinson's,5010067373417,Easy Bake Yeast
271.0,1150.0,65.0,61.0,0.5,0.1,0.5,0.5,0.02,0.008,2.0,18.0,0.0,Buckwud,5011273014903,Organic Classic Canadian Maple Syrup
298.0,1248.0,9.0,4.0,26.0,16.5,7.0,0.0,1.2,0.48,3.0,17.0,0.0,REWE Beste Wahl,6111246722107,Frommage fondu
320.0,,80.0,80.0,0.0,,0.0,,0.02,0.008,2.0,18.0,0.0,Lune de Miel,3088545004001,Miel de Fleurs Liquide Doseur 500g
397.0,1687.0,70.0,7.0,6.2,2.1,12.0,7.7,1.6,0.64,3.0,11.0,3.5,Pågen,7311070032604,Krisprolls complets
566.0,,0.0,0.0,63.0,17.0,0.0,0.0,0.3,0.12,4.0,9.0,25.0,Primevère,3155251205319,Tartine & Cuisson 100% végétal
298.0,1249.0,39.0,2.9,10.0,1.0,10.0,5.8,1.1,0.44,4.0,1.0,16.2333333333333,La Boulangère,3760049796384,Tartines céréales 450g
60.0,,7.9,3.4,2.8,0.3,1.1,0.8,0.0975,0.039,4.0,7.0,25.0,Oatly!,7394376665035,Oat Drink Whole
64.0,271.0,12.0,11.0,0.1,0.0,1.4,,0.9,0.36,4.0,5.0,67.7,Heinz,5000157079602,Tomato ketchup
231.0,975.0,42.4,3.8,2.1,0.12,8.0,5.0,1.05,0.42,4.0,3.0,0.0,Ekmek,6111246910023,Pain de mie complet
213.0,891.0,29.5,16.4,9.4,1.4e-06,2.4,0.7,0.0,0.0,4.0,14.0,0.0,henry's,3362600017619,Spofy
40.0,171.0,10.0,8.5,0.0,0.0,0.0,,0.02,0.008,3.0,10.0,12.49,Jaouda,6111242106673,Jutos
830.0,,0.0,0.0,93.0,14.0,0.0,,,,2.0,,100.0,Primadonna,4056489973010,Huile d’olive
470.0,1976.0,73.0,26.0,16.0,10.0,7.4,2.2,0.87,0.348,4.0,25.0,0.0,St michel,3023470001015,Galettes St Michel au beurre 4X5 - 130g
432.0,1824.0,70.0,10.0,11.0,4.0,9.0,3.0,0.67,0.268,4.0,13.0,2.0,Krisprolls,7311070362664,Krisprolls
441.0,1857.0,74.0,25.0,12.0,5.9,7.2,2.9,0.8,0.32,4.0,20.0,0.0,"Brun, Mondelez",7622210476241,Petit brun extra
390.0,1645.0,66.0,4.6,5.8,1.0,13.0,11.0,0.2,0.08,3.0,-5.0,0.0,Hacendado,8480000156112,Avena crunchy
61.0,,12.2,4.1,0.8,0.3,1.2,0.4,0.00025,0.0001,4.0,12.0,0.0,BN,3061990143594,"BN - Casse Croute Biscuits, 375g"
85.0,356.0,13.9,3.9,0.4,0.1,4.4,4.6,1.05,0.42,4.0,2.0,69.0,Tesco,5018374350930,Baked Beans In Tomato Sauce
352.0,1485.0,63.9,10.2,2.5,0.5,10.6,15.7,0.59,0.236,3.0,0.0,0.0,Tesco,5057753158422,Bran Flakes Malty Crunch
,,71.2,0.0,10.0,0.0,15.0,2.5,0.51,0.204,,,0.0,Nestle,6221007032540,Cerelac
522.0,2185.0,67.0,33.0,26.0,12.9,5.7,,0.28,0.112,4.0,26.0,0.0,Excelo,6111259340060,Chocup
,,,,,,,,25.0,10.0,1.0,0.0,0.0,,6111128001115,Ghayt
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0355,0.0142,1.0,0.0,0.0,hepar 75cl,8445291061132,HEPAR
99.0,414.0,22.0,21.0,0.5,0.1,1.2,0.5,2.0,0.8,4.0,14.0,63.5,Amora,8712100751370,AMORA Ketchup Flacon Souple 550g
359.0,1521.0,71.0,3.5,2.0,0.5,13.0,3.0,0.01,0.004,1.0,0.0,0.0,Barilla,8076802085738,Penne Rigate N°73
272.0,1137.0,41.0,1.9,6.0,1.5,9.2,8.5,1.3,0.52,4.0,2.0,0.0,Hacendado,8480000809421,Tortillas de trigo integrales
627.0,2600.0,38.6,33.6,48.3,29.5,7.4,,0.267,0.1068,4.0,27.0,33.5,"Confetteria Raffaello,Ferrero",8000500023976,Coco specialty
18.0,,4.3,4.3,0.0,0.0,0.0,,0.0,0.0,4.0,4.0,33.3,Rocks,5023762000113,Fruity Black Currants
39.5,165.0,5.9,0.0,0.7,0.5,2.3,,0.2375,0.095,4.0,0.0,0.0,,6111032009924,SALIM LBEN 440G
445.0,1870.0,65.0,20.0,15.0,1.4,9.5,6.1,0.03,0.012,4.0,8.0,14.725,Gerblé,3251491787803,Goûter aux écorces confites
186.0,780.0,25.0,3.8,5.2,0.6,5.0,6.2,0.95,0.38,4.0,2.0,31.7,Céréal Bio,3175681028098,Galettes boulghour & épeautre
107.0,450.0,7.0,4.0,0.0,0.0,10.0,,9.1,3.64,3.0,22.0,0.0,"HAUGEN-GRUPPEN AS, Kikkoman, Kikkoman - Kikkoman K.K.",8715035130104,salsa di soia a tasso ridotto di sale
368.0,,70.5,14.7,7.3,1.1,9.6,9.0,0.03,0.012,1.0,1.0,22.0,Dorset Cereals,5018357012411,Simply Delicious Muesli
679.0,2793.0,0.6,0.6,75.0,35.0,0.5,,0.9,0.36,2.0,21.0,22.5,Lurpak,5740900402751,LURPAK® Spreadable Slightly Salted
94.0,,13.6,4.9,0.71,0.19,4.81,7.12,0.51,0.204,4.0,-2.0,34.0,Freshona,20475604,Weisse Bohnen an Tomatensauce / Haricots blancs à la sauce tomate
270.0,888.4,7.6,7.6,16.5,11.5,7.4,,3.25,1.3,,27.0,,Ladid,6111266962675,
63.0,,0.63,0.5,5.2,3.4,2.2,,0.55,0.22,,25.0,,,6111028001222,la vache qui rit
427.2,1791.0,72.0,0.0,15.0,1.5,6.2,4.1,0.2,0.08,4.0,3.0,9.165625,Gerblé,3175681116832,Sablé saveur COCO
40.0,168.0,9.2,9.2,0.5,0.1,0.5,,0.0,0.0,4.0,11.0,30.0,pago,9002515601018,Pago Ace - Orange - Carotte - Citron
250.0,1056.0,42.0,3.8,2.9,0.4,11.0,5.9,1.0,0.4,4.0,1.0,0.0,La Boulangère,3760049795479,Pain de mie grandes tranches Toastiligne céréales & graines 500g
563.0,,47.0,45.0,37.0,16.0,8.2,3.7,0.22,0.088,4.0,30.0,20.3125,"Milka, Mondelez",3045140118502,Milka Tablette Noisette
69.0,,4.5,3.6,4.9,3.0,1.0,1.4,0.01,0.004,4.0,19.0,0.0,"J.D. Gross, Lidl",20177201,Шоколад с 6% парченца малини
157.0,,30.8,9.0,1.3,0.3,3.9,3.3,0.02,0.008,3.0,2.0,28.5,Dorset cereals,5018357012534,Simply Fruity muesli
358.0,1509.0,65.0,14.0,2.2,0.4,11.0,17.0,0.66,0.264,4.0,1.0,0.0,Kellogg's,5000127062092,Bran Flakes
,,,,,,,,,,,,,,6111264153709,
486.0,,53.5,,28.0,,5.9,,,,,,,Be Biscuit,6111259346741,Suprême
200.0,,30.0,9.9,7.2,1.6,2.9,3.4,0.275,0.11,4.0,4.0,0.0,"LU, Mondelez",7622210444141,Biscuits petit déjeuner moelleux aux pépites de chocolat
189.0,792.0,25.0,3.8,5.4,0.6,7.5,5.0,0.95,0.38,4.0,2.0,24.1166666666667,Céréal Bio,3175681028111,Les Galettes Boulgour & Quinoa - Tomate & Paprika
118.0,484.0,3.1,3.1,0.2,0.1,7.0,34.1,0.25,0.1,1.0,,0.0,"Nestlé,Nescafe,Special filtre",3033710074525,NESCAFÉ SPECIAL FILTRE L'Original Flacon de 200g
368.0,1560.0,74.7,8.3,1.5,0.6,9.8,8.5,0.56,0.224,4.0,-1.0,0.0,Nestle,7613287514325,Fitness Nature Céréales complètes
595.0,2466.0,12.0,5.9,46.0,8.6,29.0,8.4,0.69,0.276,3.0,3.0,99.0,Whole Earth,5013665115557,Beurre de cacahuètes crunchy
595.0,,14.1999998093,5.3,46.0,8.8,27.2999992371,7.3,1.0,0.4,3.0,5.0,95.0,Whole Earth,5013665108320,Crunchy Organic Peanut Butter
603.0,,44.4,39.9,42.7,14.1,8.2,,0.15,0.06,4.0,28.0,22.7272727272727,Ferrero,8000500273296,Ferrero Rocher
61.0,,7.1,3.4,3.0,0.3,1.1,0.8,0.1,0.04,3.0,7.0,5.0,Oatly!,7394376620157,Barista edition oat drink
9.0,39.0,0.9,0.2,0.5,0.3,0.1,,0.1,0.04,4.0,,25.25439453125,"Kallo foods Ltd,kallø",5013665103134,Very Low Salt Organic Vegetable 6 Stock Cubes
900.0,3700.0,0.0,0.0,100.0,11.3,0.0,0.0,0.0,0.0,,4.0,0.0,Lesieur Cristal,6111024001202,Huile de tournesol
,,,,,,,,,,,,,,01091205,
504.0,2118.0,71.0,33.0,22.0,10.8,4.4,,0.3,0.12,4.0,26.0,2.50244140625,Excelo,6111249960964,Capri choco
603.0,,19.0,14.0,55.0,33.0,8.9,,0.03,0.012,3.0,20.0,0.0,Lindt,3046920029681,Excellence Noir Délicat Doux 85% Cacao
53.0,225.0,3.6,3.1,0.1,0.1,9.4,,0.09,0.036,4.0,,1.44230769230769,"Hipro, Danone",3033491588136,HIPRO Saveur Vanille
68.0,,5.2,4.4,4.6,2.8,0.9,1.2,0.02,0.008,4.0,21.0,0.0,"J.D. Gross, Lidl, Lidl J.D. Gross",20177218,NOIR DEGUSTATION 70% CARAMEL
3.0,56.0,3.1,3.0,0.0,0.0,0.0,,0.03,0.012,4.0,7.0,0.1,Lipton,3168930170549,Ice tea
435.0,1818.0,46.0,29.0,25.0,16.0,5.9,1.3,0.86,0.344,4.0,27.0,5.69642857142857,Bonne Maman,3178530402728,La Madeleine Pur beurre
384.0,1617.0,62.0,3.4,6.2,0.7,14.0,12.0,1.1,0.44,4.0,-1.0,0.0,Pasquier,3182180001996,Biscottes Sans sucres ajoutés Blé complet
264.2,1096.8,4.0,2.2,20.0,1.4,16.0,2.1,1.34,0.536,4.0,4.0,25.98375,"Herta, Knacki",7613035937420,HERTA Knacki Veggie Saucisses végétales x6 -210g
226.0,,4.3,4.3,21.0,14.0,5.4,0.0,0.7375,0.295,4.0,14.0,0.0,"Mondelez, Philadelphia",7622300315733,Frischkäse Original Philadelphia
391.0,1645.0,60.1,3.0,7.6,1.1,13.0,24.7,1.13,0.452,,0.0,0.0,Hacendado,8710445020878,Pan fibra y sésamo
440.0,1844.0,56.0,3.8,14.0,1.4,15.0,14.0,1.0,0.4,3.0,6.0,6.25,Bachman,8710482532303,Trigo Espelta Crackers
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.004,4.0,0.0,0.0,"Lidl, Saguaro",20656935,Pétillante saveur Citron
233.0,,44.6,3.5,1.7,0.3,8.7,2.4,0.9,0.36,4.0,4.0,0.0,Hovis,5010003000131,Soft White Medium Bread
0.0,,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,,6111128000026,Sidi Harazem
129.0,540.0,19.1,,4.5,,3.6,,,,4.0,,0.0,Jaouda,6111242102552,Dessert gourmand choco
317.0,,43.0,2.002,12.0,6.0,8.0,2.002,3.22,1.288,4.0,,0.0,Indomie,0089686120073,Nouilles instantanées goût poulet
900.0,4.0,0.0,0.0,100.0,15.0,0.0,0.0,0.0,0.0,4.0,5.0,15.625,"Lesieur,Cristal",6111024001974,Huile de table équilibrée
508.0,,67.0,20.0,24.0,12.0,5.2,0.7,0.45,0.18,4.0,23.0,0.0,Bimo,6111031005095,
,,,,,,,,35.75,14.3,1.0,0.0,0.0,Aïcha,6111271800030,Eau de source naturelle La Source
,,67.0,,,,,,,,4.0,20.0,11.6435897435897,"Mondelez,Oreo",7622300336738,Oreo Original
41.0,171.0,5.4,4.0,1.9,0.3,0.5,,50.0,20.0,3.0,6.0,2.8,Bjorg,3229820787008,Bjorg amande
182.0,749.0,2.9,2.2,18.0,17.0,2.0,0.5,0.03,0.012,4.0,15.0,64.0,Kara,8886303210238,Lait de coco
100.0,,0.5,0.5,1.6,0.4,21.0,,1.475,0.59,4.0,1.0,2.06250000000001,Fleury  Michon,3302740059193,Blanc de Poulet
131.0,,20.0,17.0,3.9,0.6,2.3,3.3,0.01,0.004,4.0,12.0,100.0,nākd,5060088705940,Blueberry Muffin
257.0,,40.7,3.2,3.3,0.7,13.5,5.0,0.885,0.354,4.0,0.0,0.0,Warburtons,5010044007588,Protein Bagels
356.0,1511.0,85.0,0.0,0.6,0.0,0.4,0.0,0.25,0.1,4.0,,0.0,Idéal,6111180005342,Préparation en poudre pour Crème pâtissière saveur vanille
65.0,272.0,13.1,8.0,1.07,0.89,0.7,,0.0,0.0,,12.0,0.0,Danon,6111032002963,asiri fraise
648.0,2711.0,1.6,1.5,70.0,5.6,1.2,0.5,1.8,0.72,4.0,9.0,44.8,amora,8711200548002,mayonnaise de Dijon
377.0,1598.0,80.0,78.0,2.3,1.4,4.8,6.7,0.22,0.088,4.0,12.0,0.0,Benco,3034470003107,Benco Original
329.0,1360.0,7.9,3.5,31.0,4.5,3.8,1.8,2.8,1.12,4.0,21.0,41.125,Panzani,3038354199603,Panzani - spf - sauce pesto vert 200g
241.0,1016.0,42.3,2.8,1.2,0.2,10.3,9.7,0.59,0.236,3.0,-4.0,0.0,Tesco,5000119095282,6 Wholemeal Pittas
403.0,1687.28,86.1,,,,6.1,,,,4.0,,0.0,,6111180010414,Chocao energie
46.0,193.0,4.1,4.1,1.5,1.0,3.4,,0.12,0.048,1.0,-1.0,0.0,Müller,4025500287955,Kefir - Pur
420.0,1757.0,62.0,13.0,11.0,1.8,11.0,13.0,0.24,0.096,4.0,1.0,6.9,"Muesli Croustillant, Quaker",3168930009795,Muesli Croustillant Noix de pécan & noix du Brésil
68.4,,4.68,4.68,0.24,0.12,12.0,,0.1075,0.043,3.0,-3.0,0.0,Danone,3033491704642,Skyr nature 0%
519.0,,54.0,2.9,30.0,2.9,6.3,4.0,1.0825,0.433,4.0,12.0,0.0,Pringles,5053990127740,Pringles
605.0,2507.0,10.3,5.6,49.2,6.3,26.5,7.6,0.03,0.012,3.0,-9.0,100.0,AlestoLidl,20337292,Pistacchi
199.0,,25.8,11.3,8.3,1.4,3.7,2.9,0.265,0.106,4.0,14.0,0.0,Nature Valley,8410076801197,"Crunchy Oats and Dark chocolate, 2 Barres de 21 g"
418.0,,66.0,17.0,11.0,1.5,11.0,6.3,0.03,0.012,4.0,3.0,2.65,Jordan’s,5010477347312,Granola
531.0,2182.0,0.5,0.5,59.0,22.0,0.5,,0.3,0.12,4.0,12.0,31.1361111111111,Beurre planta,8719200251700,Beurre planta
35.0,,5.0,4.4,0.1,0.1,1.8,2.2,0.0975,0.039,1.0,-4.0,100.0,Baresa,20522605,Tomato Passata
213.0,894.0,29.6,14.5,8.7,4.7,2.8,2.5,0.14,0.056,3.0,21.0,19.5,deliciously ella,5060482840179,Apple & Raisin Oat Bars
,,,,,,,,,,2.0,,,Star,6111184002255,Vinaigre de table Blanc - Star
520.0,,61.4,6.5,27.8,4.0,5.4,1.4,1.6,0.64,4.0,17.0,0.00604248046875,Cheetos,5601363006668,Pelotazos futebolas
190.0,,4.5,0.0,18.0,12.7,2.5,,0.0,0.0,4.0,13.0,9.375,Jaouda,6111242104617,crème cuisson
50.0,,11.0,11.0,0.0,,0.0,,0.08125,0.0325,,4.0,,Schweppes,54022263,cola
232.0,970.0,6.5,6.5,18.0,12.0,11.0,0.0,1.7,0.68,4.0,17.0,0.0,La vache qui rit,3073781192186,La vache qui rit
181.0,,4.6,,24.0,,2.6,,,,4.0,,0.0,gastro mixte,6111259090415,Crempro
,,,,,,,,,,,,,,6111056014522,
442.0,1858.0,64.0,16.0,15.0,1.4,9.1,7.5,0.35,0.14,4.0,6.0,8.25,Bjorg,3229820794532,Nutri+ avoine complet
28.0,117.0,2.2,2.2,0.5,0.1,0.4,0.0,0.01,0.004,3.0,-2.0,99.88,"Italiamo, Solevita",20019907,Succo di limone
58.0,,4.0,4.0,2.0,1.4,6.0,,0.1275,0.051,1.0,0.0,0.0,Pilos,20416690,Iogurte Estilo Grego
72.72,,13.68,13.14,1.044,0.612,2.0,1.674,0.0036,0.00144,4.0,24.0,0.0,Cadbury,5034660021582,Hot Chocolate Powder
99.0,,4.2,4.2,7.5,5.1,3.7,0.0,0.0975,0.039,1.0,6.0,0.0,Tesco,5057373489593,Greek style yoghurt
191.0,,32.0,1.3,4.3,0.7,4.9,2.0,0.4725,0.189,4.0,3.0,5.72916666666667,Auto Extreme,5036034406193,Mission Deli White Wraps
359.0,1521.0,71.0,3.5,2.0,0.5,13.0,3.0,0.01,0.004,1.0,0.0,0.0,Barilla,8076802085981,Fusilli
302.0,,33.0,1.3,17.0,6.8,4.7,1.5,3.0,1.2,4.0,4.0,2.3,Mama,8852018101024,Chicken Flavour
290.0,1214.0,38.5,3.4,9.4,1.0,10.4,5.0,1.0,0.4,4.0,1.0,5.98125,Maître Jean Pierre,4056489235798,Pain de mie grandes tranches 7 cereales
98.7093690248566,,4.2,4.2,7.5,5.1,3.7,,0.0975,0.039,1.0,6.0,0.0,Tesco,5000462416772,Greek Style Natural Yogurt
370.0,1538.0,70.0,10.9,1.8,0.2,11.7,13.3,0.27,0.108,4.0,-1.0,0.0,Harvest Morn,4088600247458,Malted Wheaties
11.0,47.0,2.1,0.1,0.1,0.1,0.4,0.2,0.1,0.04,3.0,,0.0,Peter's Yard,5060198820052,Peter's Yard Original Sourdough Crackers
716.0,,2.2,1.7,69.6,6.0,17.0,6.2,,,1.0,,100.0,Hacendado,8480000340245,Nuez natural pelada
311.0,,11.1,0.1,25.8,3.3,6.0,8.0,0.855,0.342,3.0,2.0,61.1388888888889,Hacendado,8480000808585,Hummus de garbanzos receta clásica
468.0,1924.0,0.0,0.0,52.0,15.0,0.0,,0.42,0.168,4.0,10.0,30.0,St Hubert,3366321053307,Oméga 3
512.0,,30.5,25.3,39.3,24.4,9.2,,0.01,0.004,4.0,23.0,0.0,Aiguebelle,6111017042403,
135.0,1016.0,23.9,1.6,0.7,0.1,5.8,2.9,0.8,0.32,3.0,10.0,0.0,Sainsbury's,00234931,6 Wholemeal Pittas
406.0,,,0.0,18.0,2.1,6.9,3.9,850.0,340.0,4.0,10.0,0.0,Cuétara,8434165437418,Cuetara Digesta Light 200G Marie Cookies
194.0,,39.75,4.4,0.9,0.2,4.5,4.1,0.255,0.102,3.0,0.0,0.0,Crownfield,20621469,Special Flakes Classic
149.6176,,24.0,0.4,3.2,0.6,4.4,3.6,,,1.0,,0.0,Scott,5000108022176,Scott's Porage Oats Original 1000g
725.0,2989.0,4.2,4.1,71.4,6.8,11.5,10.0,0.01,0.004,1.0,-6.0,100.0,Alesto,4056489682677,Pecan Nuts natural
227.0,941.0,0.2,0.2,18.0,6.4,15.6,1.5,1.31,0.524,4.0,14.0,0.654166666666661,Naked,5060055251548,No Artificial Additives 6 Pork Sausages
95.0,,14.7,9.0,3.0,2.0,2.3,,0.0,0.0,,4.0,0.0,danone,6111032002918,Yawmi velouté pistache
534.0,2226.0,47.0,44.0,36.0,22.0,5.2,,0.011,0.0044,,28.0,0.0,Aiguebelle,6111017046470,délice noir
0.0,,0.0,0.0,100.0,14.0,1.0,,0.0,0.0,,,0.0,,6111099000605,Lio produit
13.0,56.0,3.1,3.0,0.0,0.0,0.0,,0.03,0.012,4.0,7.0,0.1,Lipton,3168930159896,Ice Tea Pêche
115.0,486.0,0.5,0.5,2.8,1.0,22.0,0.0,1.5,0.6,4.0,6.0,2.01171875,Fleury Michon,3302740047367,Le Supérieur - à l'Etouffée - Conservation sans Nitrite
126.0,,0.7,0.0,14.0,13.0,0.0,,0.0,0.0,,14.0,0.0,Hemani,8964000577066,Hemani Coconut Oil Pure & Natural (400ML)
191.0,45.0,,0.0,1.5,1.1,3.0,,0.0,0.0,1.0,-4.0,0.0,Jaouda,6111266962651,lait
71.0,,18.0,,0.0,,0.011,,0.022,0.0088,4.0,,0.0,Alsa,8712100724572,Levure Chimique Alsacienne
468.0,1924.0,0.0,0.0,52.0,15.0,0.0,,0.42,0.168,4.0,10.0,30.0,"Saint Hubert,St hubert omega 3",3366321053284,St hubert omega 3 255 g doux
146.0,,1.9,0.1,7.7,1.2,16.9,0.8,0.4125,0.165,3.0,-2.0,31.0,The Tofoo Co.,5034467000223,Smoked Tofu
42.0,,10.0,9.8,0.0,0.0,0.1,,0.01,0.004,4.0,9.0,42.0,"Orangina, Orangina Schweppes, Schweppes",8435185101112,Orangina et sa Pulpe !
246.0,59.0,10.1,5.5,1.28,1.06,1.75,0.0,0.0,0.0,,4.0,0.0,Danone,6111032004448,Danup fraise
164.0,682.0,4.2,4.2,11.5,8.1,10.9,0.0,0.95,0.38,,11.0,,Queso de Burgos Hacendado,01415490,vanilla
389.0,1649.0,86.0,7.9,1.2,0.4,7.0,2.9,1.0,0.4,3.0,8.0,0.0,Kellogg’s,5059319029702,Rice Krispies
54.0,226.0,2.3,2.2,2.8,0.4,3.9,1.1,0.25,0.1,,0.0,0.0,Alpro,5411188118961,"Alpro Joghurtalternative auf Sojabasis, Natur mit Mandeln, 500 g, 31"
71.0,297.0,8.7,8.1,1.9,1.2,4.0,1.2,0.11,0.044,4.0,11.0,0.0,Poulain,3664346306027,chocolat en poudre
447.0,1963.0,49.7,7.9,17.9,3.7,13.2,17.0,0.06,0.024,4.0,0.0,18.5,Bio & Me,5070000126548,"Low Sugar, Naturally Gut-Loving Granola"
,,,,,,,,,,,,,Lipton,8720608632633,lipton yellow label tea x25
299.0,1264.0,53.2,2.1,5.2,1.2,9.1,1.6,1.0,0.4,4.0,5.0,0.0,Old El Paso,8410076472953,Wraps
456.0,1914.0,67.0,17.0,16.0,1.4,8.3,5.2,0.44,0.176,3.0,10.0,0.763392857142861,Gerblé,3175681257566,Gingembre saveur citron 🍋
74.0,312.0,15.0,14.0,0.5,0.1,1.5,0.7,0.88,0.352,3.0,5.0,77.0,Amora,8710522922019,Ketchup 5 Ingrédients
51.0,216.0,2.3,2.2,2.3,0.4,4.0,0.9,0.24,0.096,4.0,0.0,10.7,"Alpro, Danone",5411188099154,Alpro Plain
64.0,271.0,5.0,4.9,0.3,0.2,10.1,,0.1475,0.059,4.0,,0.0,Milbona,4056489406679,High Protein Drink Cacao
65.0,272.0,2.2,2.2,3.3,0.6,5.6,1.3,0.325,0.13,4.0,-1.0,15.7,alpro,5411188121213,
13.0,53.0,0.0,0.0,1.1,0.1,0.4,0.4,0.13,0.052,4.0,1.0,2.0,Alpro,5411188112778,"Alpro® Mandeldrink Ungesüßt, 1 L, FRESH"
399.0,1657.0,19.0,0.8,20.0,13.0,22.0,27.0,0.05,0.02,1.0,,0.0,Green & Blacks,5011835101690,Cocoa Powder
150.0,,16.1,16.1,8.0,8.0,3.3,,0.0,0.0,,12.0,,Jaouda,6111242103696,Yaourt grec
119.0,,18.0,2.1,3.3,1.5,3.2,1.5,1.5,0.6,3.0,24.0,8.0,Piadina,5060198645624,Piadina midi flatbread
400.0,,100.0,100.0,0.0,0.0,0.0,,0.0,0.0,,19.0,0.0,كوسومار,6111029000293,enmer
,,,,,,,,,,,,,,0402004014227,
348.0,1435.0,2.3,2.3,34.5,24.5,7.0,0.0,1.1,0.44,3.0,17.0,18.85,"Fromarsac, Savencia, Tartare",3272770094412,L'original tartare ail & fines herbes
362.0,1532.0,72.0,1.0,2.3,0.7,11.0,4.5,0.57,0.228,3.0,0.0,0.0,Jardin Bio étic,3760020508012,Tartines craquantes Sarrasin
372.0,1566.0,59.0,0.7,7.0,1.3,14.0,10.0,0.0,0.0,1.0,-5.0,0.0,Carrefour,3560070614202,Oat flakes
249.0,1028.0,2.8,2.8,25.0,16.0,3.7,0.2,1.06,0.424,4.0,17.0,0.0,Philadelphia,7622210103314,
364.0,1538.0,70.0,13.0,1.8,0.3,11.0,12.0,0.72,0.288,4.0,1.0,0.0,Nestle,7613287152183,Shreddies
685.0,2825.0,14.0,5.8,64.0,58.0,7.2,0.0,0.04,0.016,1.0,14.0,100.0,Blue Dragon,5010338013714,Creamed Coconut Block
151.0,637.0,11.2,2.5,7.0,4.2,10.4,1.3,1.4,0.56,3.0,2.0,14.0,Covent Garden,5056053305703,Classic Chicken Soup
537.0,,55.3,55.3,32.7,32.7,5.6,,5.0,2.0,4.0,51.0,8.0,,6111260680452,Marhaba
,,,,,,,,,,,,,,6111243570138,
900.0,,,,100.0,16.8,,,0.0,0.0,2.0,,100.0,,6111062000175,Huile de grignon d’olive
393.0,1659.0,78.0,22.4,5.2,0.9,6.7,6.0,0.66,0.264,4.0,10.0,0.0,"Cookie crisp,Nestlé",3387390326574,
561.0,2342.0,54.9,49.1,33.8,21.9,8.6,2.0,0.275,0.11,4.0,31.0,0.0,Ferrero,4008400260921,Kinder Country
539.0,2252.0,57.5,56.3,30.9,10.6,6.3,3.0,0.107,0.0428,4.0,31.0,13.0,"Ferrero, Nutella",4008400402222,Nutella
465.0,1944.0,56.5,11.3,20.4,1.7,7.6,12.6,0.66,0.264,4.0,1.0,25.69967,Proper Corn,5060283760669,Sweet & Salty Popcorn
37.0,157.0,8.7,4.5,0.0,0.0,0.1,0.2,2.5,1.0,4.0,14.0,66.0,Jaouda,6111242107366,Press Up moyen
270.0,1130.0,,6.0,21.0,12.0,9.0,0.0,1.5,0.6,4.0,18.0,0.0,la hollandaise,6111203006646,la hollandaise
468.0,1924.0,0.0,0.0,52.0,17.0,0.0,,0.42,0.168,4.0,11.0,36.9666666666667,"St Hubert, St hubert omega 3",3366321052003,St Hubert Omega 3 Sans Huile de Palme 500g Doux
488.0,2045.0,64.0,22.0,22.0,6.2,6.5,4.1,0.53,0.212,4.0,19.0,0.0,Pavesi,8013355999143,Gocciole classiche pav 500 gr
520.0,2177.0,61.4,6.5,27.8,4.0,5.4,1.4,1.6,0.64,4.0,17.0,0.8,Cheetos,8410199790958,Pelotazos
198.0,,10.4,6.3,11.8,2.7,10.4,4.3,0.925,0.37,4.0,,70.5,Nature Valley,8410076610744,Protein Caramel salé Cacahuètes
190.0,796.0,16.0,11.0,10.0,0.7,6.6,3.0,8.4,3.36,4.0,25.0,0.0,Colman's,50147588,Colman's Mustard
481.0,1980.0,0.1,0.0,49.5,7.1,0.0,0.0,0.0,0.0,4.0,3.0,51.0,Fry light,5000442007594,Olive oil
142.0,,16.0,3.3,4.1,0.7,8.3,3.3,0.00175,0.0007,4.0,-7.0,91.025,Merchant Gourmet,5018095011318,Tomatoey French Puy & Green lentils
151.0,625.0,6.2,0.3,11.7,1.2,3.9,2.7,0.32,0.128,3.0,1.0,69.5,The Deli,4088600003429,Houmous
151.0,,5.4,3.3,12.4,8.0,2.7,3.3,0.0003,0.00012,4.0,15.0,0.0,Moser Roth,4088600132334,85% Cocoa - Dark Chocolate
739.0,,0.7,0.7,82.0,52.0,0.6,,1.18,0.472,2.0,24.0,0.0,Lurpak,5740900404496,Butter
236.0,998.0,42.0,1.7,1.3,0.3,10.0,8.1,0.85,0.34,3.0,-3.0,0.0,Village Bakery,4088600276267,6 Wholemeal Pittas
44.0,185.0,11.8,8.9,0.0,0.0,0.0,,0.0,0.0,4.0,2.0,19.725,"Les Eaux Minérales d'Oulmès, Oulmès",6111035002052,Bul'tropicale
557.0,2325.0,55.0,52.0,34.0,5.6,6.2,3.3,0.06,0.024,4.0,25.0,10.0,"Jardin Bio, Léa Nature",3760020500658,Pâte à tartiner chocolat Noisette
317.0,,8.7,0.1,26.8,2.6,6.9,6.15,1.16,0.464,3.0,4.0,67.9,L'atelier Blini,3292070005161,Houmous extra - Pois chiches français & graines de sésame
